"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BAT1";"PINHEAD1-2";1;"DW02S";;;
2;"C1";"C_0805";1;"47uF/6.3V/";;;
3;"C2";"C_0603";1;"27pF/50V/";;;
4;"C3";"C_0603";1;"27pF/50V";;;
5;"C4";"C_0603";1;"22uF/6.3V/";;;
6;"C5";"C_0603";1;"100nF/50V/";;;
7;"C6,C7";"C_0805";2;"47uF/6.3V/20%/X5R/C0805";;;
8;"CHARGING1";"LED_0603";1;"LED/YELLOW/0603";;;
9;"D1,D2";"D_SMA";2;"1N5822/SS34/SMA";;;
10;"FET1";"SOT-23";1;"WPM2015-3/TR";;;
11;"PWRLED1";"LED_0603";1;"LED/RED/0603";;;
12;"Q1";"Crystal_SMD_3225-4pin_3.2x2.5mm";1;"Q12MHz/20pF/10ppm/4P/3.2x2.5mm";;;
13;"Q2,Q3";"SOT-23";2;"BC817-40(SOT23)";;;
14;"Q4";"SOT-23";1;"BC547";;;
15;"R1";"R_0603";1;"10k/R0603";;;
16;"R2,R3,R4";"R_0603";3;"2.2k/R0603";;;
17;"R5";"R_0603";1;"NA/R0603";;;
18;"R6,R7,R10";"R_0603";3;"220R/R0603";;;
19;"R8,R9";"R_0603";2;"1k/R0603";;;
20;"R11";"R_0603";1;"4.99k/";;;
21;"R12";"R_0603";1;"1.1k/";;;
22;"R13";"R_0603";1;"1k";;;
23;"R14";"R_0603";1;"10k";;;
24;"U1";"SOT-23-5";1;"BL4054B-42TPRN(SOT23-5)";;;
25;"U2";"SSOP-20";1;"CH340T(SSOP20W)";;;
26;"U3";"SOT-23-5";1;"SY8089AAAC(SOT23-5)";;;
27;"J5";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
28;"L1";"L_Abracon_ASPI-3012S";1;"2.2uH/1.5A/DCR<0.1R/CD32";;;
29;"U4";"SOT-23";1;"BAT54C(SOT23-3)";;;
30;"J1,J2";"Socket_Strip_Straight_1x08_Pitch2.54mm";2;"Conn_01x08_Female";;;
31;"J3";"JST_EH_B03B-EH-A_03x2.50mm_Straight";1;"SS-430 Proximity sensor";;;
32;"J4";"JST_EH_B03B-EH-A_03x2.50mm_Straight";1;"Servo";;;
